date,practice_name,recipient_email,draft_id,status,notes
2026-06-24,Page Family Dental Group,frontdesk@pagefdg.com,r1003808542627272987,DRAFT_CREATED,Ready to send from Gmail Drafts
2026-06-24,BayView Dental Arts,office@bayviewdentalarts.com,r-2977632763125699922,DRAFT_CREATED,Ready to send from Gmail Drafts
2026-06-24,Naples Premier Dentistry,naplespremier@mydentalmail.com,r-4292426781968153307,DRAFT_CREATED,Ready to send from Gmail Drafts
2026-06-24,Torrens Dental Care,info@torrensdental.com,r1279761952856133567,DRAFT_CREATED,Ready to send from Gmail Drafts
2026-06-24,Massa Dental Center,office@massadental.com,r1600274554820602397,DRAFT_CREATED,Ready to send from Gmail Drafts
2026-06-24,Gulfside Dental,gulfsidedentalnaplesfl@gmail.com,r-2965352889735970804,DRAFT_CREATED,Ready to send from Gmail Drafts
2026-06-24,Top Dental Designs,contact@topdentaldesigns.com,r8967798763405069411,DRAFT_CREATED,Ready to send from Gmail Drafts
2026-06-24,Cosmetic & Implant Dentistry of Naples,care@dentistryofnaples.com,r-1872095058825484550,DRAFT_CREATED,Ready to send from Gmail Drafts
2026-06-24,Galdos Dental,contact@galdosdental.com,r-8315641639855293790,DRAFT_CREATED,Ready to send from Gmail Drafts
2026-06-24,Davey Family Dentistry,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Naples Dental Professionals,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Dental Specialty Center of Naples,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Naples Dental Care,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,The Dentistry in Naples,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Naples Smiles Dentistry,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Naples Bay Dental Group,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Dental Care at Naples Lakes,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Cardinale Dentistry,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Bellaire Bay Dental Care,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Orangetree Dental Care,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Mission Hills Dentistry,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Gateway of Naples Dental,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Naples Family Dentist,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Naples Dental and Wellness Center,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,M&R Dental Family,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Dentists of South Naples,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Complete Dental Care of Naples,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Naples Modern Dentistry,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Specialists in Implant Dentistry,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Pelican Bay Family Dental,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Caring Dentistry of Naples,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Fantastic Dental Arts,,NO_EMAIL,SKIPPED,No email address in contact list
2026-06-24,Naples Dental Studio,,NO_EMAIL,SKIPPED,No email address in contact list
