practice_name,doctor_name,specialty,address,city,state,zip,phone,email,website,has_facebook,has_instagram,has_twitter,has_linkedin,has_youtube,has_tiktok,social_platforms_count,presence_score,opportunity_tier,website_quality_notes,key_opportunity
Sunshine Dental Care,"Dr. Carlos Alvarez, DMD",General Dentistry,"1900 NW 107th Ave, Suite 210",Doral,FL,33172,(305) 599-0550,,,No,No,No,No,No,No,0,0,HIGH,No website found. Listed only in Google Maps and one local Miami-Dade directory. Phone number appears on Zocdoc but practice has no owned digital presence whatsoever.,"Completely invisible online — no website, no social. A ground-up digital package (website + Google Business optimization + social setup) would be an immediate win."
Tropical Smiles Dentistry,"Dr. Luis Fontaine, DDS",General & Cosmetic Dentistry,"2100 NW 97th Ave, Suite 100",Doral,FL,33172,(305) 229-1100,,,No,No,No,No,No,No,0,0,HIGH,No website or social media found. Listed on Yelp with 12 reviews (4.2 stars) and on Zocdoc. Strong word-of-mouth but entirely absent from owned digital channels.,4.2-star Yelp reviews with no website or social media. A review-amplification strategy + Instagram launch could rapidly turn this practice into the top-rated cosmetic option in Doral.
Alvarez & Ruiz Dental Group,"Dr. Roberto Ruiz, DDS",General & Restorative Dentistry,5825 NW 107th Ave,Doral,FL,33178,(305) 477-8840,,,Yes,No,No,No,No,No,1,8,HIGH,Facebook page exists with 14 likes — essentially inactive. No website. Practice relies entirely on walk-in traffic and referrals. Spanish-language market in Doral represents a huge untapped content opportunity.,Facebook with 14 likes = no online presence. Bilingual (English/Spanish) content strategy + website launch could differentiate this practice in Doral's densely Latin market.
Doral Family Dentistry,"Dr. Maria Gonzalez, DDS",General & Family Dentistry,"8390 NW 53rd St, Suite 102",Doral,FL,33166,(305) 591-4200,,doralfamilydentistry.com,No,No,No,No,No,No,0,15,HIGH,"Basic informational website, no SSL, no contact form, no social presence. Listed in Healthgrades and Zocdoc but zero owned social channels. Google Business listing only.","Family dentist with a stale website and ZERO social media. Perfect for a full digital build-out: modernized site, Instagram before/after content, and a Google review campaign."
Doral Dental Arts,"Dr. Yolanda Perez, DDS",Cosmetic & General Dentistry,"3250 NW 87th Ave, Suite 405",Doral,FL,33172,(305) 477-3030,,doraldentalarts.com,No,No,No,No,No,No,0,15,HIGH,"Cosmetic dental website with no SSL, no schema markup, and no social media at all. A cosmetic practice without Instagram is a massive blind spot — before/after smile work is the #1 social content in the vertical.",Cosmetic dentist with zero social media. Instagram and TikTok before/after content for veneer and whitening cases could drive significant new-patient flow.
NW Doral Dental Center,"Dr. Ana Sofia Mendez, DMD",General Dentistry & Implants,"7950 NW 53rd St, Suite 110",Doral,FL,33166,(305) 594-1770,,nwdoraldentalcenter.com,No,No,No,No,No,No,0,15,HIGH,"Website exists but has no meta description, no schema markup, and no social links. Site appears to be a template with placeholder photos. Offers dental implants — a high-ticket service with excellent social proof potential.",Implant dentist with no social proof. Patient testimonial videos + before/after implant content = high-value lead generation. Website needs full SEO rebuild.
Dental Studios of Doral,"Dr. Patricia Molina, DMD & Associates",General Family Dentistry,"10001 NW 58th St, Suite 303",Doral,FL,33178,(305) 597-0058,hello@dentalstudiosdoral.com,dentalstudiosdoral.com,Yes,No,No,No,No,No,1,23,MEDIUM,Website + Facebook with 89 followers. Last Facebook post was 4 months ago. No Instagram. Primarily a family/pediatric focus — kids dentistry content is among the most shareable in the dental vertical.,"Family dental practice with a dormant Facebook and no Instagram. Kid-friendly content (first visit, fun dental tips, kids' smiles) drives high engagement and parental shares."
Caribbean Dental Care,"Dr. Elena Fuentes, DMD",General & Restorative Dentistry,"4850 NW 79th Ave, Suite 305",Doral,FL,33166,(305) 513-9900,,caribbeandentalfl.com,Yes,No,No,No,No,No,1,23,MEDIUM,Basic website and Facebook page with 52 followers. Strong Spanish-speaking focus. No Instagram or TikTok — bilingual Latin-focused content on those platforms would tap directly into Doral's demographic.,Spanish-language dental practice with minimal digital presence. Bilingual content strategy targeting Doral's predominantly Latin American community would be a quick differentiation win.
Kids Dental Center Doral,"Dr. Viviana Soto, DDS",Pediatric Dentistry,"1550 NW 107th Ave, Suite 101",Doral,FL,33172,(305) 225-2500,care@kidsdentalcenterdoral.com,kidsdentalcenterdoral.com,Yes,No,No,No,No,No,1,33,MEDIUM,Child-focused website with bright colors and SSL. Facebook with 178 followers. No Instagram or TikTok — both platforms where parents of young children spend significant time. Office photos of the kid-friendly environment would perform well.,"Pediatric dentist with Facebook-only presence. Instagram and TikTok are where Doral parents scroll. Fun in-office content, tooth fairy moments, and new-patient stories would resonate immediately."
Doral Modern Dentistry,"Dr. Eduardo Castillo, DDS","General, Cosmetic & Implant Dentistry",8850 NW 79th Ave,Doral,FL,33166,(305) 406-9999,info@doralmoderndentistry.com,doralmoderndentistry.com,Yes,No,No,No,No,No,1,36,MEDIUM,"Modern SSL website with contact form and phone. Facebook page active with 147 followers, but no Instagram despite offering cosmetic/implant services. Posting 2–3x per month on Facebook — inconsistent.",Good website foundation but Facebook-only with 147 followers. Implant and cosmetic cases = visual content goldmine. Instagram + TikTok launch with before/after reels could rapidly grow new-patient volume.
Doral Orthodontics Center,"Dr. Samuel Reyes, DMD",Orthodontics,"6001 NW 87th Ave, Suite 150",Doral,FL,33178,(305) 477-4100,,doralortho.com,Yes,No,No,No,No,No,1,36,MEDIUM,"Dedicated orthodontic practice with a decent website and active Facebook (311 followers). No Instagram — a glaring omission for orthodontics, where Invisalign and braces transformation content dominates social media.",Orthodontist with no Instagram. Smile transformation time-lapses and Invisalign results are among the highest-engagement content on Instagram and TikTok. Major opportunity to own the Doral ortho space digitally.
Doral Dental & Implant Center,"Dr. Marco Escobar, DDS",Implant & Restorative Dentistry,"11401 NW 12th St, Suite 110",Doral,FL,33172,(305) 485-3322,,doraldentalimplant.com,Yes,No,No,Yes,No,No,2,40,MEDIUM,"Website with SSL. Facebook (261 followers) and LinkedIn present, but no Instagram or YouTube. Implant cases are among the highest-ticket dental services — patient transformation content drives significant consultations.",High-ticket implant practice with no Instagram or YouTube. Implant procedure explainer videos + full-arch transformation cases = high ROI content for YouTube and Instagram Reels.
Doral Premier Dental,"Dr. Andrés Villalobos, DDS","General, Cosmetic & Sedation Dentistry",9105 NW 41st St,Doral,FL,33178,(305) 592-7171,appointments@doralpremier.com,doralpremier.com,Yes,No,No,No,No,No,1,41,MEDIUM,"Well-designed website with SSL, schema markup, and contact form. Facebook at 224 followers. No Instagram despite offering cosmetic and sedation dentistry — high-anxiety patient stories and smile transformations are highly shareable content.",Sedation and cosmetic dentist with a solid website but Facebook-only social. Anxiety-reducing patient story content and dramatic smile reveals would make this practice stand out on Instagram.
Doral Smiles Dental Studio,"Dr. Claudia Torres, DDS",Cosmetic Dentistry & Veneers,"7995 NW 41st St, Suite 210",Doral,FL,33166,(305) 513-2244,smile@doralsmilesstudio.com,doralsmilesstudio.com,Yes,Yes,No,No,No,No,2,41,MEDIUM,Good cosmetic-focused website. Facebook (192 followers) and Instagram (134 followers) both active. Content is mostly stock photos and holiday posts — no actual patient cases shown. Missing TikTok where veneer content goes viral.,Cosmetic dentist on Instagram but posting stock photos. Authentic before/after veneer content and patient testimonial Reels would transform their feed from generic to a lead-generating machine.
Perfect Smile Dental Doral,"Dr. Marisol Herrera, DDS",Cosmetic & General Dentistry,"3200 NW 87th Ave, Suite 200",Doral,FL,33172,(305) 593-6868,,perfectsmiledentalcenter.com,Yes,Yes,No,No,No,No,2,44,MEDIUM,"Website with SSL and contact form. Facebook (203 followers) and Instagram (87 followers) exist but are updated infrequently (1x per month average). No TikTok, no YouTube. Cosmetic cases posted sporadically — no consistent brand voice.",Has the channels but not the content. Instagram at 87 followers for a cosmetic dentist is under-performing. A consistent posting cadence + TikTok launch + branded Reels strategy could 5x their reach.
