practice_name,phone,email,address,city,state,zip,website,specialty
United Dental Specialists,(305) 593-6520,info@udsdental.com,10305 NW 41st St Suite 207,Doral,FL,33178,uniteddentalspecialists.com,General & Multi-Specialty Dentistry
Doral Dental Specialty Center,(305) 477-7655,doraldentalsc@gmail.com,7902 NW 36th St Suite 212,Doral,FL,33166,doraldentalspecialtycenter.com,Multi-Specialty (General / Ortho / Peds / Perio / Oral Surgery)
Doral Center for Orthodontics,(786) 845-0800,doralcenterfororthodontics@gmail.com,10830 NW 58th St,Doral,FL,33178,doralbraces.com,Orthodontics
Doral Pediatric Dentistry / The Little Tooth Doctor,(305) 513-4058,doral@primepediatric.net,10717 NW 58th St,Doral,FL,33178,thelittletoothdoctor.com,Pediatric Dentistry
Doral Family Dental,(305) 894-3223,info@doralfamilydental.com,7800 NW 25th St Suite 11,Doral,FL,33122,doralfamilydental.com,General & Family Dentistry
Midtown Doral Dental,(305) 307-7017,info@midtowndoraldental.com,7885 NW 107th Ave Suite 5,Doral,FL,33178,midtowndoraldental.com,General & Family Dentistry
Doral Dental Studio – Andres Cuartas DDS,(305) 882-9260,info@doraldentalstudio.com,2100 NW 107th Ave Suite 106,Doral,FL,33172,doraldentalstudio.com,General & Cosmetic Dentistry
Gemini Dental,(305) 629-9909,info@geminidentalmiami.com,10449 NW 41st St,Doral,FL,33178,geminidentalmiami.com,General & Cosmetic Dentistry
Dentists of Doral,(786) 837-7939,dentistsofdoral@smilegeneration.com,8694 NW 13th Ter,Doral,FL,33126,dentistsofdoral.com,General Dentistry
Miami Perfect Smile,(786) 981-0655,info@miamiperfectsmile.com,4995 NW 72nd Ave Suite 101,Doral,FL,33166,miamiperfectsmile.com,Cosmetic & General Dentistry
Bella Family Dental,(786) 688-0097,info@mybellafamily.com,5875 NW 105th Ct Suite 108,Doral,FL,33178,mybellafamily.com,General & Cosmetic Dentistry
Luvic Advanced Dentistry,(786) 758-4613,luvicadvanceddentistry@gmail.com,2000 NW 87th Ave Suite 215,Doral,FL,33172,luvicdental.com,General & Advanced Dentistry
Doral Select Dentistry,(305) 786-5956,info@doralselectdentistry.com,5645 NW 87th Ave Suite 112,Doral,FL,33178,doralselectdentistry.com,General & Oral Surgery
Doral Sedation & Family Dentistry,(305) 441-5359,doralsedationsocial@gmail.com,3650 NW 82nd Ave Suite 301,Doral,FL,33166,doralsedationdentistry.com,General & Sedation Dentistry
Smiles at Doral – Dr. Belkis Del Puerto,(305) 597-2227,info@smilesatdoral.com,11402 NW 41st St,Doral,FL,33178,smilesatdoral.com,Cosmetic / Implant / Restorative Dentistry
Flash Smile Dental,(305) 603-9111,flashsmiledental@gmail.com,3650 NW 82nd Ave Suite 502,Doral,FL,33166,flashsmiledental.com,General & Cosmetic Dentistry
South Dental Doral,(305) 599-2818,,3655 NW 107th Ave Suite 103,Doral,FL,33178,southdental.org,General Dentistry
Sage Dental – Downtown Doral,(786) 822-5467,credentialing@mysagedental.com,5335 NW 87th Ave Suite C103,Doral,FL,33178,mysagedental.com,General & Multi-Specialty Dentistry
